item,itemLabel
http://www.wikidata.org/entity/Q3666631,secretary desk
http://www.wikidata.org/entity/Q3859737,sex furniture
http://www.wikidata.org/entity/Q97622695,Shanghai-style furniture
http://www.wikidata.org/entity/Q100136951,shop furniture
http://www.wikidata.org/entity/Q100095237,shop shelve
http://www.wikidata.org/entity/Q29382896,Side Chair
http://www.wikidata.org/entity/Q60741332,Snuff Tablet
http://www.wikidata.org/entity/Q29382862,Spindle-back armchair
http://www.wikidata.org/entity/Q60170414,Spoon racks
http://www.wikidata.org/entity/Q51949417,Standing aid
http://www.wikidata.org/entity/Q13397636,street furniture
http://www.wikidata.org/entity/Q95975368,support furniture
http://www.wikidata.org/entity/Q97622707,Suzhou-style furniture
http://www.wikidata.org/entity/Q60753913,Table Desk
http://www.wikidata.org/entity/Q107194250,table toilet
http://www.wikidata.org/entity/Q60781038,Tall-case Clock
http://www.wikidata.org/entity/Q60761033,Tall Clock
http://www.wikidata.org/entity/Q60755835,Tambour Desk
http://www.wikidata.org/entity/Q60779075,Tea Table
http://www.wikidata.org/entity/Q64682645,teacher's desk
http://www.wikidata.org/entity/Q2560594,tool board
http://www.wikidata.org/entity/Q107196890,towel rack
http://www.wikidata.org/entity/Q60756405,Tripod Brazier
http://www.wikidata.org/entity/Q1383436,Ulm stool
http://www.wikidata.org/entity/Q2256603,umbrella holder
http://www.wikidata.org/entity/Q3957882,UP series
http://www.wikidata.org/entity/Q60754142,Wall Bracket
http://www.wikidata.org/entity/Q60760340,Wall Clock
http://www.wikidata.org/entity/Q55393631,wall rack
http://www.wikidata.org/entity/Q56560824,Waterfall furniture
http://www.wikidata.org/entity/Q28137011,Wooden Casket
http://www.wikidata.org/entity/Q60745731,Work Table
http://www.wikidata.org/entity/Q107194251,worship furniture
http://www.wikidata.org/entity/Q29383636,Writing table
http://www.wikidata.org/entity/Q100606494,Yokeback Armchair
