item,itemLabel
http://www.wikidata.org/entity/Q107196587,test pliers hull
http://www.wikidata.org/entity/Q19394283,textile arts tool
http://www.wikidata.org/entity/Q95981657,The Wine Aroma Wheel
http://www.wikidata.org/entity/Q10512335,thread die holder
http://www.wikidata.org/entity/Q60747098,Thumb Rest of a Spear Thrower
http://www.wikidata.org/entity/Q3529360,tick removal tool
http://www.wikidata.org/entity/Q79893002,Tool Used to Illustrate Woodcutting
http://www.wikidata.org/entity/Q79893014,Tool Used to Illustrate Woodcutting:  Registration Frame
http://www.wikidata.org/entity/Q79892998,Tools Used to Illustrate Woodcutting
http://www.wikidata.org/entity/Q61765429,Torno de Precisão
http://www.wikidata.org/entity/Q2293706,triple-square screw drive
http://www.wikidata.org/entity/Q7888424,United Nations Guiding Principles on Business and Human Rights
http://www.wikidata.org/entity/Q79474252,Weight in the Form of a Bull or Cow
http://www.wikidata.org/entity/Q60753732,Weight in the Form of a Hippopotamus Head
http://www.wikidata.org/entity/Q60762066,Weight in the Form of a Lion
http://www.wikidata.org/entity/Q1409189,Wire rope hoist
http://www.wikidata.org/entity/Q100305877,Wooden Writing Tool
